,Datetime,Search term,Google URL ,Ad URL Website,Vendor,Position Num,Position,Result is consistent,Page number,Type of result,Comments,Ad value
0,2018-01-23 22:54:47.409652,UN32EH4003 Samsung,http://www.google.com/search?q=UN32EH4003+Samsung&num=100&hl=en&start=0,http://www.ebay.com/itm/like/232621105587,NA,1,RHS,NA,1,Sponsored Ad,NA,eBay
1,2018-01-23 22:54:47.416006,UN32EH4003 Samsung,http://www.google.com/search?q=UN32EH4003+Samsung&num=100&hl=en&start=0,https://www.appliancesconnection.com/samsung-un32eh4003fxza.html?ref=froogle,NA,2,RHS,NA,1,Sponsored Ad,NA,Appliances Connection
2,2018-01-23 22:54:47.419695,UN32EH4003 Samsung,http://www.google.com/search?q=UN32EH4003+Samsung&num=100&hl=en&start=0,http://www.ebay.com/itm/like/272243431398,NA,3,RHS,NA,1,Sponsored Ad,NA,eBay
3,2018-01-23 22:54:47.423372,UN32EH4003 Samsung,http://www.google.com/search?q=UN32EH4003+Samsung&num=100&hl=en&start=0,http://www.ebay.com/itm/like/162171572110,NA,4,RHS,NA,1,Sponsored Ad,NA,eBay
4,2018-01-23 22:54:47.427454,UN32EH4003 Samsung,http://www.google.com/search?q=UN32EH4003+Samsung&num=100&hl=en&start=0,http://www.ecrater.com/p/20277982/samsung-32-widescreen-720p-led-hdtv?gps=1,NA,5,RHS,NA,1,Sponsored Ad,NA,eCrater
5,2018-01-23 22:54:54.137138,tv 40 inch,http://www.google.com/search?q=tv+40+inch&num=100&hl=en&start=0,www.bestbuy.com/TVs,NA,1,Main Ad,NA,1,Sponsored Ad,NA,"40 Inch TV | Shop Now & Save at Best Buy® | BestBuy.com‎ Ad ‎  Rating for bestbuy.com: 4.7 - On-time delivery: 96%+ Up To 25% Off Select HDTVs Plus Free Shipping, Shop Now & Save! Services: In Home Consultation, TV Set Up and Connect, TV Mounting, Basic Audio Setup, Soundbar Mounting, Home Wi-Fi Setup, TV Calibration, Whole Home Audio Setup, TV Repair, Product Protection Plan (function(){var f=function(){this.h="""";this.s=d};f.prototype.v=!0;var g=/^(?:(?:https?|mailto|ftp):|[^:/?#]*(?:[/?#]|$))/i,d={},h=function(b){var c=new f;c.h=b;return c};h(""about:blank"");var k=function(b,c){if(c instanceof f)var a=c;else a=c,a instanceof f||(a=a.v?a.h:String(a),g.test(a)||(a=""about:invalid#zClosurez""),a=h(a));b.href=a instanceof f&&a.constructor===f&&a.s===d?a.h:""type_error:SafeUrl""};google.f.LmvwCb=function(b){if(!b)return google.ml(Error(""a""),!1),!0;var c=b.getAttribute(""data-arwt"");if(c){var a=b?(a=b.getAttribute(""data-ved""))?""&ved=""+a:"""":"""";b.href=c+a}return!0};google.f.DfwaCb=function(b){if(!b)return google.ml(Error(""b""),!1),!0;if(b.hasAttribute(""data-sbv2"")){b.hasAttribute(""data-ohref"")?k(b,b.getAttribute(""data-ohref"")):b.setAttribute(""data-ohref"",b.href);var c=b.href,a=/[?&]adurl=([^&]+)/.exec(c);if(a&&/[?&]ae=1(&|$)/.test(c))try{var e={l:c+""&act=1"",o:decodeURIComponent(a[1])}}catch(l){google.ml(Error(""c`""+c),!1),e=null}else e=null;e&&(navigator.sendBeacon&&navigator.sendBeacon(e.l+""&ri=1"")?k(b,e.o):b.href+=""&ri=2"")}return!0};google.f.bez1fd=google.f.LmvwCb;}).call(this); Weekly TV Deals See This Week's Special Offers On"
6,2018-01-23 22:54:55.168914,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.amazon.com/Samsung-UN32EH4003-32-Inch-720p-Model/dp/B0078LSTWU,NA,2,organic search,NA,1,organic search,NA,Amazon.com: Samsung UN32EH4003 32-Inch 720p 60Hz LED TV ...
7,2018-01-23 22:54:55.173007,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.samsung.com/us/support/owners/product/2012-led-tv-eh4003-eh5003-series,NA,3,organic search,NA,1,organic search,NA,2012 LED TV (EH4003 - EH5003 Series) | Owner ... - Samsung
8,2018-01-23 22:54:55.176467,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,http://www.samsung.com/us/video/tvs/UN32EH4003FXZA-specs,NA,4,organic search,NA,1,organic search,NA,Specs - LED TV UN32EH4003F | Samsung TVs
9,2018-01-23 22:54:55.179941,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=Samsung+UN32EH4003+32-inch+720p+60Hz+LED+HDTV+%28Black%29,NA,5,organic search,NA,1,organic search,NA,Samsung UN32EH4003 32-inch 720p 60Hz LED HDTV (Black) - Best ...
10,2018-01-23 22:54:55.183400,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.digitaltrends.com/tv-reviews/samsung-un32eh4003-review/,NA,6,organic search,NA,1,organic search,NA,Samsung UN32EH4003 Review | LED TV | Digital Trends
11,2018-01-23 22:54:55.186845,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.ebay.com/p/Samsung-4003-Series-UN32EH4003-32-720p-HD-LED-LCD-Television/118225059,NA,7,organic search,NA,1,organic search,NA,"Samsung 4003 Series UN32EH4003 32"" 720p HD LED LCD - eBay"
12,2018-01-23 22:54:55.190283,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.walmart.com/ip/Samsung-32-Class-LED-720p-60Hz-HDTV-3-7-ultra-slim-UN32EH4003/21081426,NA,8,organic search,NA,1,organic search,NA,"Samsung 32"" Class LED 720p 60Hz HDTV, (3.7"" ultra-slim) - Walmart"
13,2018-01-23 22:54:55.193680,UN32EH4003 Samsung,https://www.google.com/search?q=UN32EH4003+Samsung&num=20&hl=en,https://www.cnet.com/products/samsung-un32eh4003f/preview/,NA,9,organic search,NA,1,organic search,NA,"Samsung UN32EH4003F Release Date, Price and Specs - CNET"
